City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mana,GF,77.81,overcast clouds,5.6592,-53.7767,LE SAMANA
1,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
2,Inirida,CO,78.39,scattered clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
5,Santa Rosa,PH,82.38,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
7,Rikitea,PF,76.42,few clouds,-23.1203,-134.9692,People ThankYou
9,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
10,Faanui,PF,81.16,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
11,Cam Ranh,VN,76.96,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
15,Tharad,IN,84.49,few clouds,24.3961,71.6267,Shree Nandan Couriyar Service
21,Atuona,PF,78.24,light rain,-9.8,-139.0333,Villa Enata
23,Kahului,US,78.82,light rain,20.8947,-156.47,Maui Seaside Hotel
24,Suba,PH,83.46,overcast clouds,10.8438,121.0102,Jarnchi Pension House
31,Namibe,AO,75.74,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
42,Savannah Bight,HN,82.27,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
48,Marzuq,YE,77.27,scattered clouds,14.4,46.4667,
50,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
55,Butaritari,KI,81.43,broken clouds,3.0707,172.7902,Isles Sunset Lodge
56,Port Blair,IN,82.56,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
57,Sabang,ID,83.55,overcast clouds,5.8933,95.3214,Hotel Citra
60,Dingle,PH,76.82,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
63,Avarua,CK,84.25,few clouds,-21.2078,-159.775,Paradise Inn
76,Hilo,US,82.27,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
83,Takaungu,KE,78.21,moderate rain,-3.6837,39.8566,Takaungu House
84,Nova Russas,BR,77.2,overcast clouds,-4.7067,-40.5631,palace motel
89,Punto Fijo,VE,82.56,overcast clouds,11.6956,-70.1996,Santa Fe Inn Hotel
93,Alappuzha,IN,80.76,overcast clouds,9.49,76.3264,Panoramic Sea Resort
108,Harrison,US,84.27,few clouds,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
109,Half Moon Bay,US,78.42,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
111,Georgetown,MY,82.33,thunderstorm,5.4112,100.3354,Cititel Penang
118,Adre,TD,84.43,broken clouds,13.4667,22.2,
120,Vanimo,PG,78.31,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
121,Oussouye,SN,78.98,clear sky,12.485,-16.5469,Auberge du Routard
124,Bengkulu,ID,75.76,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
129,Saint George,US,81.63,haze,37.1041,-113.5841,Best Western Plus Abbey Inn
133,Arraial Do Cabo,BR,76.86,clear sky,-22.9661,-42.0278,Pousada Porto Praia
139,Axim,GH,80.33,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
142,Lorengau,PG,81.61,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
149,Lubao,PH,80.31,overcast clouds,14.9167,120.55,Hacienda Gracia
152,Isangel,VU,84.31,broken clouds,-19.55,169.2667,Tanna Lodge
154,Marang,MY,78.71,overcast clouds,5.2056,103.2059,DBarakah Homestay
157,Nhulunbuy,AU,81.21,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
160,Correntina,BR,80.6,broken clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
172,Itapora,BR,80.01,broken clouds,-22.0799,-54.7874,Hotel Santa Fé
179,Harper,LR,80.74,broken clouds,4.375,-7.7169,Screensaver
180,Nandigama,IN,83.21,scattered clouds,16.7833,80.3,M.G palace
183,Hamilton,US,76.44,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
186,San Andres,CO,75.22,thunderstorm with rain,12.5847,-81.7006,Hotel Arena Blanca
194,Santa Cruz,BO,84.25,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
195,Alta Floresta,BR,77.25,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
199,Waw,SS,81.14,scattered clouds,7.7029,27.9953,Universal Gab Hotel
203,Kutum,SD,81.48,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
216,Wewak,PG,78.17,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
217,Sinnamary,GF,78.12,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
218,Oriximina,BR,76.66,heavy intensity rain,-1.7656,-55.8661,Pousada Tia Amélia
220,Puri,IN,82.92,broken clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
223,Bella Vista,US,75.72,clear sky,36.4295,-94.2316,The Inn at Bella Vista
226,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
227,Loandjili,CG,77.77,light rain,-4.7561,11.8578,Résidence ARCHANGE
232,Pemangkat,ID,78.55,overcast clouds,1.1667,108.9667,Ramah Kost KITA
233,Mogadishu,SO,82.9,light rain,2.0371,45.3438,Hotel Juba
234,Takoradi,GH,80.49,broken clouds,4.8845,-1.7554,Raybow International Hotel
250,Cayenne,GF,82.09,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
251,Pundaguitan,PH,80.83,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
253,Omboue,GA,78.94,overcast clouds,-1.5746,9.2618,Hotel Olako
255,Kavaratti,IN,84.02,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
256,Port-Gentil,GA,82.36,broken clouds,-0.7193,8.7815,Fengshui Residence
257,Ler,SS,84.69,overcast clouds,8.3018,30.1418,Leer Humanitarian Hub
258,Korampallam,IN,84.83,overcast clouds,8.7667,78.1,Regency Tuticorin by GRT Hotels
259,Kharan,PK,80.74,clear sky,28.5833,65.4167,Dil Aram Bangla
260,Caravelas,BR,75.11,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
262,Maragogi,BR,77.45,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
268,Palasa,IN,81.19,overcast clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
269,Banda Aceh,ID,80.19,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
272,Laguna,US,82.69,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
278,Sambava,MG,76.95,broken clouds,-14.2667,50.1667,Melrose
285,Witu,KE,82.56,light rain,-2.3889,40.4382,
286,Matay,EG,76.77,clear sky,28.419,30.7792,Nag Aespen
288,Kiunga,PG,76.91,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
293,Mecca,SA,82.44,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
297,Jardim,BR,81.54,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
299,Poum,NC,77.92,clear sky,-20.2333,164.0167,
300,Nabire,ID,76.46,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
301,Winfield,US,75.45,overcast clouds,37.2398,-96.9956,Sonner Motor Inn
302,Thanatpin,MM,77.18,broken clouds,17.2119,96.3033,Lo Ta Ya Garden
304,Tautira,PF,79.32,light rain,-17.7333,-149.15,Pension Oaoa
315,Humaita,BR,76.69,broken clouds,-7.5061,-63.0208,Corrêa Hotel
323,Meulaboh,ID,76.68,overcast clouds,4.1363,96.1285,Kost Pria
327,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
331,Weligama,LK,79.34,overcast clouds,5.9667,80.4167,Weligama Bay Resort
335,Rio Hato,PA,80.15,scattered clouds,8.3833,-80.1667,Posada Acuarela Farallón (Panamá)
337,Ndjole,GA,76.01,light rain,-0.1783,10.7649,Motel Kédyann
343,Banjar,ID,76.98,overcast clouds,-8.19,114.9675,The Hamsa Resort
345,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
346,Les Cayes,HT,77.31,overcast clouds,18.2,-73.75,Villa Orphee
352,Sao Jose Da Coroa Grande,BR,77.85,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
355,Berbera,SO,84.72,overcast clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
359,Havelock,US,78.98,scattered clouds,34.8791,-76.9013,Sherwood Motel
361,Virginia Beach,US,80.65,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
362,Avera,US,83.71,overcast clouds,33.194,-82.5271,
365,Garissa,KE,79.18,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
366,Canutama,BR,79.21,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
371,Baculin,PH,77.72,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
372,Langsa,ID,75.33,overcast clouds,4.4683,97.9683,OYO 3328 Hotel Mori
384,Noumea,NC,80.58,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
385,Marshall,US,82.71,scattered clouds,34.3834,-86.3333,Riverview Campground
389,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
399,Touros,BR,80.46,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
400,Boca Do Acre,BR,81.07,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
407,Dorado,PR,77.58,overcast clouds,18.4588,-66.2677,Embassy Suites by Hilton Dorado del Mar Beach Resort
421,Tual,ID,83.32,broken clouds,-5.6667,132.75,Grand Vilia Hotel
426,Ridgecrest,US,84.69,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
432,Tessalit,ML,79.5,few clouds,20.1986,1.0114,
433,Kieta,PG,81.68,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
439,Butterworth,MY,82.44,thunderstorm,5.3991,100.3638,Cititel Penang
441,Silver City,US,80.56,clear sky,32.7701,-108.2803,Copper Manor Motel
449,Sulphur Springs,US,84.15,clear sky,33.1385,-95.6011,Clarion Pointe Sulphur Springs
455,Manama,BH,82.35,clear sky,26.2154,50.5832,Al Safir Hotel
457,Luanda,AO,76.59,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
462,Hesperia,US,81.05,clear sky,34.4264,-117.3009,High Desert Inn
464,Aloleng,PH,81.21,broken clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
471,Oranjestad,AW,84.15,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
473,Jamame,SO,77.94,moderate rain,0.0722,42.7506,
474,Dunmore Town,BS,75.65,scattered clouds,25.5,-76.65,Coral Sands Hotel
478,Honiara,SB,81.99,overcast clouds,-9.4333,159.95,Heritage Park Hotel
488,Aquiraz,BR,82.49,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
494,Alugan,PH,79.57,overcast clouds,12.2188,125.4808,JM Lodge
498,Sulangan,PH,81.18,broken clouds,11.1373,123.7228,Maia's Beach Resort
499,Gouyave,GD,81.37,few clouds,12.1646,-61.7296,Rumboat Retreat
502,Carinhanha,BR,83.16,broken clouds,-14.3047,-43.765,Hotel União
506,Nanakuli,US,82.35,few clouds,21.3906,-158.1547,Camp Pālehua
510,Ocampo,MX,79.92,scattered clouds,21.65,-101.5,Hotel Estancia del Vaquero
519,Cape Canaveral,US,83.19,few clouds,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
524,Kilindoni,TZ,80.94,light rain,-7.9139,39.6668,Bustani B&B
525,Dumraon,IN,84.04,clear sky,25.55,84.15,Pawan traval agencay
526,Durango,MX,84.2,overcast clouds,24.8333,-104.8333,
530,Sur,OM,82.72,clear sky,22.5667,59.5289,Sur Plaza Hotel
533,Puerto Ayacucho,VE,81.09,light rain,5.6639,-67.6236,Posada Turistica Manapiare
534,Ternate,ID,82.44,scattered clouds,0.8,127.4,Sahid Bela Ternate Hotel
540,Totness,SR,79.14,scattered clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
549,Porto Seguro,BR,79.32,few clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
550,Acarau,BR,79.66,broken clouds,-2.8856,-40.12,castelo pizzaria
556,La Reforma,MX,83.26,overcast clouds,25.0833,-108.05,Hotel Reforma
560,Adrar,MR,81.1,clear sky,20.5022,-10.0711,
562,Madisonville,US,76.86,clear sky,37.3281,-87.4989,Days Inn by Wyndham Madisonville
568,Carutapera,BR,76.53,light rain,-1.195,-46.02,Lidera
575,Nisia Floresta,BR,82.78,broken clouds,-6.0911,-35.2086,Rancho Crepusculo
580,Alofi,NU,82.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
581,Palmdale,US,78.35,clear sky,34.5794,-118.1165,Courtyard by Marriott Palmdale
584,Pyapon,MM,81.36,scattered clouds,16.2833,95.6833,Aung Naing Thu Motel
586,Neiafu,TO,84.88,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
588,Pandan Niog,PH,82.31,light rain,6.2282,120.5631,
589,Nova Olimpia,BR,78.91,clear sky,-14.7972,-57.2881,Motel glamour
600,Jaciara,BR,77.5,broken clouds,-15.9653,-54.9683,Taba Hotel
601,Gamba,GA,77.7,light rain,-2.65,10.0,
602,Davila,PH,76.98,light rain,18.4726,120.5763,Blue Ridge Beach Resort
608,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
609,Bindi,SL,80.78,overcast clouds,9.9167,-11.45,
610,Beira,MZ,77.09,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
611,Buchanan,LR,80.82,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
612,Porterville,US,77.52,clear sky,36.0652,-119.0168,"Holiday Inn Express & Suites Porterville, an IHG Hotel"
614,Iracoubo,GF,78.28,scattered clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
615,Barreirinhas,BR,77.36,scattered clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
620,Loreto,MX,83.44,broken clouds,22.2667,-101.9667,José de Jesús Velásquez mora
624,Umm Lajj,SA,79.09,clear sky,25.0213,37.2685,Moon light Furnished Units
625,Los Algarrobos,PA,84.61,scattered clouds,8.5,-82.4333,Waterfall Hostel
628,Kavieng,PG,83.41,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
631,Hobyo,SO,84.76,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
632,Sao Miguel Do Araguaia,BR,77.99,few clouds,-13.275,-50.1628,Hotel Executivo Palace
638,Makakilo City,US,80.92,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
639,Konongo,GH,75.49,overcast clouds,6.6167,-1.2167,Alice Tee Hotel
640,Karratha,AU,79.36,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
644,San Cristobal,VE,82.58,broken clouds,7.7669,-72.225,Pirineos
645,Sola,VU,81.97,overcast clouds,-13.8833,167.55,Leumerus Bungalows
646,Ndele,CF,76.66,overcast clouds,8.4109,20.6473,
654,Puerto Narino,CO,77.61,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
657,Buala,SB,82.18,light rain,-8.145,159.5921,Maringe Lagoon Lodge
662,Morro Bay,US,81.72,few clouds,35.3658,-120.8499,Inn at Morro Bay
663,Bontang,ID,78.71,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
670,Konibodom,TJ,78.44,overcast clouds,40.2843,70.4426,"Hotel ""Orom"""
675,Mehran,IR,76.84,clear sky,33.1222,46.1646,بوتیک زنانه بهار
678,Aden,YE,84.49,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
681,Puerto Plata,DO,80.44,broken clouds,19.7934,-70.6884,Be Live Collection Marien
684,Boyolangu,ID,75.63,overcast clouds,-8.1181,111.8935,Yos ega cv
686,Sisophon,KH,75.63,moderate rain,13.5859,102.9737,Pyramid Hotel
688,Galle,LK,81.3,overcast clouds,6.0367,80.217,Amangalla
689,Songadh,IN,81.45,clear sky,21.1667,73.5667,SPOT ON 61520 Shivam Guest House
699,Belmonte,BR,76.24,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
700,Assare,BR,78.53,broken clouds,-6.8744,-39.875,José Xavier de Andrade
701,Orocue,CO,83.88,broken clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
